id	user	icon	portrait	English	Japanese	Final Notes	pic	Filenames	Codes
GIRL_TONGUES	Girl			Lejos de las estepas devastadas por la guerra de Escitia, conocimos a una chica de pelo oscuro en un prado iluminado por el sol. #helloworld	戦火で荒れ果てたスキタイの平原より;~はるか離れた地で、黒髪の少女に出会った。 #helloworld		72	001.jpg	Z0E1Q
				La gente de montaÑa del CÁucaso la conocÍa como Samae, y parecÍa agradable. #obviously	コーカサス地方の山の民は、;~少女を「オトメちゃん」と呼ぶ。;~感じが良さそうな娘だ。 #名前が安直				
SIGN_TADPOL	The Scythian			"""El hogar estÁ donde se encuentra el corazÓn."" #threegutrecords4ever"	「暖炉の前で見る夢は、;~月の記憶か意識の淵か」#夢で逢いましょう				
SIGN_WALL	The Scythian			"""Escitia, Cimeria, Asiria y Persia, estos son todos los reinos de los hombres. Mingi Taw es el Reino de las Nubes."""	「スキタイ、キンメリア、アッシリア、;~ペルシャ…;これらは人が築き上げた地上の~王国だが、;ミンギ・トウは雲の王国である」				
SIGN_CHASM	The Scythian			En el borde del Precipicio Peligroso, habÍa una piedra tallada con el glifo de una espada bajo los colores del arco iris.	「危難の崖」のすぐ手前に石碑があった。;~石碑には七色の虹と、;それらを突き上げる~ような;剣の記号が彫られていた。				
				Nosotros, los escitas, detestamos los arco iris. #loathsomerainbows	我らスキタイ人は虹を忌み嫌う。 #虹大嫌い		21	002.jpg	40C27
SIGN_BIRDTREE	The Scythian			En un paso lateral que se alejaba del viejo camino habÍa una piedra tallada con una serie de glifos indescifrables.	古道から伸びる脇道に石碑があった。;~ 記号がいくつも彫ってあるが解読できない。				
				En medio de los glifos indescifrables descubrimos una serie de pictogramas lunares.	解読できない記号の羅列だが、;~その中で月を表す象形文字だけは分かった。				
SIGN_BIRDTREEDECIPHERED	The Scythian			En un paso lateral que se alejaba del viejo camino habÍa una piedra tallada con una serie de pictogramas lunares que logramos descifrar.	古道から伸びる脇道に、;月の象形文字が~彫られた石碑があった。;以前は解読~できなかったものだ。				
				"Los pictogramas hablaban de un lugar secreto en las inmediaciones""...allÍ donde se pueden alterar los estados de Ánimo de la luna."""	象形文字は、この近くにある秘密の場所を;~指し示すもののようだ。;~「月の満ち欠けが様変わりする」とある。				
				¿La Gruta de la Luna...? #moongrotto #whatisit #itsamystery	月の洞穴…？  #月の洞穴 #何コレ #謎		205	003.jpg	60D3C
SIGN_WOLF	The Scythian			En un lado del viejo camino habÍa una piedra tallada con un par de glifos con la forma de una espada y un escudo. #hinthint	古道のわきに石碑があった。;~剣と盾を示す記号が彫られている。 #ヒント		16	004.jpg	T0C4X
SIGN_ANTECHAMBERLEFT	The Scythian			En un pasillo subterrÁneo descubrimos una estatua de malfario, pero no le prestamos demasiada atenciÓn. #lore	地下道には不気味な像があったが、;~とりあえずシカトを決め込むことにした。 #言い伝え		29	005.jpg	V0B53
INFO_CROSSMOUNTAINLEFT	The Scythian			En las escarpadas montaÑas del Mingi Taw una tumba solitaria marcaba el final de un camino de grava.	ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。				
INFO_CROSSMOUNTAINRIGHT	The Scythian			En las escarpadas montaÑas del Mingi Taw una tumba solitaria marcaba el final de un camino de grava.	ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。				
INFO_RIDGESKULLPOLE	The Scythian			En la cresta dentada que llevaba a la cima del Mingi Taw habÍa un poste sombrÍo adornado con un crÁneo astado.	ミンギ・トウの頂上へと続く険しい山道に;~何やら棒が立っていた。;棒には大仰な角の~ついた;不気味な骸骨が飾りつけてあった。				
INFO_CROSSRIDGE	The Scythian			En la cresta dentada que llevaba a la cima del Mingi Taw descansaba una tumba solitaria como triste recordatorio de las muchas personas que habÍan muerto allÍ.	ミンギ・トウの頂上へと続く険しい山道に、;~寂しげな墓があった。;~死者の数を誇るかのようにも見えた。				
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	Encontramos El Megatomo entrelazado en dos manos huesudas y sentimos agitarse la espada en la vaina. #megatome	ついに「絶世の大書」を見つけた。;~だが骨の手が掴んでいて取れない。;~剣が…鞘の中で震えた…？ #絶世		33	006.jpg	30D6C
DOOR_SIDEBMEADOW	The Scythian			Una pequeÑa puerta sin pomo de un material desconocido. Una seÑal decÍa 'Solo personal autorizado'.	見たこともない素材でできた、;取っ手の~ない扉だ。;「関係者以外立ち入り禁止」と~書いてある。				
DOOR_UPSLOPEWOODS1	The Scythian			El viejo camino al Mingi Taw estaba bloqueado por una puerta cerrada.	ミンギ・トウの古道に続く扉には;鍵が~かかっている。				
DOOR_UPSLOPEWOODS3	The Scythian			Una puerta cerrada se ocultaba en la maleza del bosque debajo del viejo camino que conducÍa hasta el Mingi Taw. #moongrotto	ミンギ・トウ行きの古道から下に伸びた~脇道を;進むと、うっそうとした茂った低木の~奥に;開かない扉があった。 #月の洞穴				
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1						
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		El leÑador cortaba madera. #obviously #woodchopping	一人の木こりがしきりに;薪木をパッキリ~割っている。 #薪割り		71	007.jpg	70E70
