id	user	icon	portrait	English	Japanese	Final Notes	pic	Filenames	Codes
GIRL_TONGUES	Girl			Lejos de las estepas de Escitia devastadas por la guerra, conocimos a una chica de cabello oscuro en un prado bañado por el sol. #helloworld			72	001.jpg	Z0E1Q
				Los montañeses del Cáucaso la conocían como Samae y parecía agradable. #obviously					
SIGN_TADPOL	The Scythian			"""El hogar está donde se encuentra el corazón."" #threegutrecords4ever"					
SIGN_WALL	The Scythian			"""Escitia, Cimeria, Asiria y Persia, estos son todos los reinos de los hombres. Mingi Taw es el Reino de las Nubes."""					
SIGN_CHASM	The Scythian			En el borde del Precipicio Peligroso, había una piedra tallada con el glifo de una espada que miraba hacia el cielo bajo los colores del arcoíris.					
				Nosotros los escitas detestamos los arcoíris. #loathsomerainbows			21	002.jpg	40C27
SIGN_BIRDTREE	The Scythian			En un paso lateral que se alejaba del camino antiguo había una piedra tallada con una serie de glifos indescifrables.					
				En medio de los glifos indescifrables descubrimos una serie de glifos lunares.					
SIGN_BIRDTREEDECIPHERED	The Scythian			En un paso lateral que se alejaba del camino antiguo había una piedra tallada con una serie de glifos lunares antes indescifrables.					
				"Los glifos hablaban de un lugar secreto en las inmediaciones ""...allí donde se puede alterar el temperamento de la luna."""					
				¿La Gruta Lunar...? #moongrotto #whatisit #itsamystery			205	003.jpg	60D3C
SIGN_WOLF	The Scythian			Al margen del camino antiguo había una piedra tallada con un par de glifos con la forma de una espada y un escudo. #hinthint			16	004.jpg	T0C4X
SIGN_ANTECHAMBERLEFT	The Scythian			En un pasaje subterráneo descubrimos una ominosa estatua a la que no le prestamos demasiada atención. #lore			29	005.jpg	V0B53
INFO_CROSSMOUNTAINLEFT	The Scythian			En la escarpada ladera del Mingi Taw una tumba solitaria marcaba el final de un camino de grava.					
INFO_CROSSMOUNTAINRIGHT	The Scythian			En la escarpada ladera del Mingi Taw una tumba solitaria marcaba el final de un camino de grava.					
INFO_RIDGESKULLPOLE	The Scythian			En la dentada cresta que conduce a la cima del Mingi Taw había un poste siniestro adornado con una calavera astada.					
INFO_CROSSRIDGE	The Scythian			En la dentada cresta que llevaba a la cima del Mingi Taw descansaba una tumba solitaria como siniestro recuerdo de las muchas personas que habían muerto allí.					
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	Encontramos El Megatomo engastado entre dos manos esqueléticas y sentimos a nuestra espada agitarse en su vaina. #megatome			33	006.jpg	30D6C
DOOR_SIDEBMEADOW	The Scythian			"Una puerta pequeña sin pomo hecha de un material desconocido. Una señal reza ""Solo personal autorizado""."					
DOOR_UPSLOPEWOODS1	The Scythian			Una puerta cerrada en la rocosa muralla bloqueaba el camino antiguo al Mingi Taw.					
DOOR_UPSLOPEWOODS3	The Scythian			Una puerta cerrada se escondía en un matorral en el bosque bajo el camino antiguo que asciende al Mingi Taw. #moongrotto					
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1						
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		El leñador cortaba leña. #obviously #woodchopping			71	007.jpg	7E+71
				Los montañeses del Cáucaso lo conocían como Sr. Tronco y parecía amable.					
				Sr. Tronco sabía todo acerca de nuestro funesto cometido y accedió a llevarnos hasta el camino antiguo.					
				Aún así, nos dio la sensación de que no estaba muy emocionado que digamos con tal encomienda.					
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		El leñador nos esperó para continuar el recorrido hacia el camino antiguo.			12	008.jpg	U0D88
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		Habíamos salvado el precipicio y nos sentíamos super inteligentes.			22	009.jpg	L0B9S
			adventureUI/megatomeItem	Le contamos a Sr. Tronco que estábamos buscando un libro de siniestra magia conocido como El Megatomo.					
			adventureUI/megatomeItem	El Megatomo se ocultaba en algún lugar oscuro y encantado más allá del precipicio, bajo el Mingi Taw.					
			adventureUI/megatomeItem	Decidimos ir por El Megatomo y despúes escapar con vida.					
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	El leñador nos confirmó al 100% que el tenía la única llave de la puerta de la rocosa muralla.					
			AdventureUI/keyItem	Era una llave realmente bonita.					
				Estábamos completamente listos para mantener presionado sobre el camino para avanzar.					
