id	user	icon	portrait	Italian	Japanese	Final Notes	pic	Filenames	Codes
GIRL_TONGUES	Girl			Lontano dalla Scizia & dalle sue steppe devastate dalla guerra, in un prato assolato, incontrammo una ragazza dai capelli corvini. #ciaomondo	戦火で荒れ果てたスキタイの平原より;~はるか離れた地で、黒髪の少女に出会った。 #helloworld		72	001.jpg	Z0E1Q
				Presso coloro che abitano le montagne del Caucaso era nota come 'Ragazza' & sembrava gentile. #ovviamente	コーカサス地方の山の民は、;~少女を「オトメちゃん」と呼ぶ。;~感じが良さそうな娘だ。 #名前が安直				
SIGN_TADPOL	The Scythian			"""Casa è dove è il cuore."" #threegutrecords4ever"	「暖炉の前で見る夢は、;~月の記憶か意識の淵か」#夢で逢いましょう				
SIGN_WALL	The Scythian			"""Scizia, Cimmeria, Assiria & Persia - questi sono tutti regni degli uomini. Il Mingi Taw è Il Regno della Nuvola."""	「スキタイ、キンメリア、アッシリア、;~ペルシャ…;これらは人が築き上げた地上の~王国だが、;ミンギ・トウは雲の王国である」				
SIGN_CHASM	The Scythian			Sul bordo del periglioso precipizio, vi era una roccia scolpita con il glifo di una spada innalzata al cielo sotto i colori dell'arcobaleno.	「危難の崖」のすぐ手前に石碑があった。;~石碑には七色の虹と、;それらを突き上げる~ような;剣の記号が彫られていた。				
				Noi Sciti detestiamo gli arcobaleni. #arcobalenidetestabili	我らスキタイ人は虹を忌み嫌う。 #虹大嫌い		21	002.jpg	40C27
SIGN_BIRDTREE	The Scythian			In un sentiero laterale che conduceva lontano dalla strada antica vi era una roccia scolpita con una serie di glifi indecifrabili.	古道から伸びる脇道に石碑があった。;~ 記号がいくつも彫ってあるが解読できない。				
				Tra i glifi indecifrabili notammo una serie di pittogrammi della luna.	解読できない記号の羅列だが、;~その中で月を表す象形文字だけは分かった。				
SIGN_BIRDTREEDECIPHERED	The Scythian			In un sentiero laterale che conduceva lontano dalla strada antica vi era una roccia scolpita con una serie di pittogrammi della luna un tempo indecifrabili.	古道から伸びる脇道に、;月の象形文字が~彫られた石碑があった。;以前は解読~できなかったものだ。				
				"I pittogrammi si riferivano ad un luogo segreto che si trovava poco distante ""... in cui l'umore della luna poteva essere cambiato."""	象形文字は、この近くにある秘密の場所を;~指し示すもののようだ。;~「月の満ち欠けが様変わりする」とある。				
				La Grotta della Luna...? #grottadellaluna #macheè #èunmistero	月の洞穴…？  #月の洞穴 #何コレ #謎		205	003.jpg	60D3C
SIGN_WOLF	The Scythian			Sul lato della strada antica vi era una roccia scolpita con un paio di glifi con la foggia di una spada & uno scudo. #indizioindizio	古道のわきに石碑があった。;~剣と盾を示す記号が彫られている。 #ヒント		16	004.jpg	T0C4X
SIGN_ANTECHAMBERLEFT	The Scythian			In un corridoio sotterraneo notammo una statua infausta, ma non ci preoccupammo troppo. #letradizionidelluogo	地下道には不気味な像があったが、;~とりあえずシカトを決め込むことにした。 #言い伝え		29	005.jpg	V0B53
INFO_CROSSMOUNTAINLEFT	The Scythian			Sul versante più aspro & pericolante del Mingi Taw, un sepolcro solitario segnava la fine di una strada sterrata.	ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。				
INFO_CROSSMOUNTAINRIGHT	The Scythian			Sul versante più aspro & pericolante del Mingi Taw, un sepolcro solitario segnava la fine di una strada sterrata.	ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。				
INFO_RIDGESKULLPOLE	The Scythian			Sul dorsale frastagliato che conduceva alla cima del Mingi Taw vi era un lugubre palo adornato da un teschio di cervo.	ミンギ・トウの頂上へと続く険しい山道に;~何やら棒が立っていた。;棒には大仰な角の~ついた;不気味な骸骨が飾りつけてあった。				
INFO_CROSSRIDGE	The Scythian			Sul dorsale frastagliato che conduceva alla cima del Mingi Taw, un sepolcro solitario ricordava, come un lugubre monito, coloro i quali morirono laggiù.	ミンギ・トウの頂上へと続く険しい山道に、;~寂しげな墓があった。;~死者の数を誇るかのようにも見えた。				
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	Trovammo il Grantomo racchiuso fra due mani scheletriche & sentimmo la nostra spada muoversi nel fodero. #grantomo	ついに「絶世の大書」を見つけた。;~だが骨の手が掴んでいて取れない。;~剣が…鞘の中で震えた…？ #絶世		33	006.jpg	30D6C
DOOR_SIDEBMEADOW	The Scythian			Una porticina senza maniglia fatta di un materiale sconosciuto. Un cartello dice 'Riservato al Personale Autorizzato'.	見たこともない素材でできた、;取っ手の~ない扉だ。;「関係者以外立ち入り禁止」と~書いてある。				
DOOR_UPSLOPEWOODS1	The Scythian			La strada antica per Mingi Taw era bloccata da una porta chiusa a chiave.	ミンギ・トウの古道に続く扉には;鍵が~かかっている。				
