id	Italian	Japanese	
GAME_NAME	Superbrothers: Sword & Sworcery EP	スキタイのムスメ：音響的冒剣劇	
GAME_MOTTO	UN CORAGGIOSO ESPERIMENTO NEL CINEMA I/O	インプット・アウトプット・シネマ実験	
GAME_NAME_SHORT	S:S&SEP	スキムス	HM, jun13: Changed it since it was using the old name.
WITH_SONGS	MUSICHE & SUONI DI	楽曲 & サウンド：	
JIM_GUTHRIE	JIM GUTHRIE	ジム・ガスリー	
FOR_DEMO	SOLO PER SCOPI DIMOSTRATIVI	体験版専用	
END_DEMO	Così termina la demo di	これにて体験版終劇：	
SIDE_A	LATO A	A面	
SIDE_B	LATO B	B面	
ROTATE	A T T I V A R E?	抜刀する？	JJ, Jun08: Removed space.
INVENTORY_ROTATE	RUOTA?	回転してみる？	MM,May29: Shortened, please recenter on screen JR, may30: Changed to Japanese ？
LOOK	GUARDA	見て	
LISTEN	ASCOLTA	聞いて	
TOUCH	TIP TAP	トントンして	
DREAM	SOGNO	夢	
TOUCH_ARROW_LEFT	< <TOCCA	< <触れて	
TOUCH_ARROW_RIGHT	TOCCA> >	触れて> >	
GUIDE_ARROW_LEFT	< <GUIDA	< <こっちへ	
GUIDE_ARROW_RIGHT	GUIDA> >	こっちへ> >	
OBSERVE	OSSERVA	観察して	
INVESTIGATE	INDAGA	よく見て	
SHAKE	AGITA?	振ってみる？	JR, may30: Changed to Japanese ？
REFLECT	RIFLETTI	反射を	
BELIEVE	CREDI	信じて	
BEWARE	ATTENZIONE	気をつけて	
FOLLOW	SEGUI?	ついていく？	
ROTATE_UNSHEATHE	< < SFODERA	< <抜刀	JJ, Jun6: Didn't have translation for this one, but based it on row 11. JR, jun12: Hiroko OK. JR, jun12: Fixed spacing around arrows.
GO_HOME	VAI A CASA?	家に帰る？	
START_ARROW_RIGHT	COMINCIA > > >	スタート> >	JR, jun12: Fixed spacing around arrows.
TRESPASS	TRASGREDISCI	侵入	
AVOID	EVITA	避ける	
CONSIDER	ESAMINA	よく考える	
PERSEVERE	INSISTI	がんばる	
START_OVER	RICOMINCIA?	やり直す？	JR, may30: Changed to Japanese ？
PROMPT_YES	SÌ	はい	
PROMPT_NO	NO	いいえ	
PROMPT_OK	OKAY	OK	JJ, Jun06: Needs translation. JJ, Jun08: Just putting "決定" here so we can find it in the rom. JJ, Jun11: OK is the final text. JR, jun12: Hiroko OK.
PROMPT_CANCEL	ANNULLA	キャンセル	
PROMPT_SUBMIT	INVIA	送信	
