id	English	Japanese
GAME_NAME	Superbrothers: Sword & Sworcery EP	
GAME_MOTTO	UMA CORAJOSA EXPERIÊNCIA EM I/O CINEMA	
GAME_NAME_SHORT	S:S&SEP	
WITH_SONGS	COM CANÇÕES E SONS DE	
JIM_GUTHRIE	JIM GUTHRIE	
FOR_DEMO	APENAS PARA DEMONSTRAÇÃO	
END_DEMO	Assim termina a demonstração de	
SIDE_A	LADO A	
SIDE_B	LADO B	
ROTATE	¿ L I G A R ?	
INVENTORY_ROTATE	GIRAR?	
LOOK	OLHE	
LISTEN	OUÇA	
TOUCH	TOQUE	
DREAM	SONHE	
TOUCH_ARROW_LEFT	< < TOQUE	
TOUCH_ARROW_RIGHT	TOQUE > >	
GUIDE_ARROW_LEFT	< < GUIE	
GUIDE_ARROW_RIGHT	GUIE > >	
OBSERVE	OBSERVE	
INVESTIGATE	INVESTIGUE	
SHAKE	¿AGITAR?	
REFLECT	REFLITA	
BELIEVE	ACREDITE	
BEWARE	CUIDADO	
FOLLOW	SEGUIR?	
ROTATE_UNSHEATHE	< < DESEMBAINHAR	
GO_HOME	IR PARA INICIO?	
START_ARROW_RIGHT	INICIO > > >	
TRESPASS	INFILTRE	
AVOID	EVITE	
CONSIDER	CONSIDERE	
PERSEVERE	PERSEVERE	
START_OVER	APAGAR O AVANÇO?	
PROMPT_YES	SIM	
PROMPT_NO	NÃO	
PROMPT_OK	ACEITAR	
PROMPT_CANCEL	CANCELAR	
PROMPT_SUBMIT	ENVIAR	
PROMPT_DELETE_SAVE	DESEJA EXCLUIR SEUS DADOS SALVOS? TODO O PROGRESSO SERÁ PERDIDO!	
FULLSCREEN	TELA CHEIA	
FULLSCREEN_YES	SIM	
FULLSCREEN_NO	NÃO	
VOLUME	VOLUME	
SETTINGS	CONFIG.	
CLEAR_DATA	APAGAR DADOS	
KEEP_CHANGES	MANTER ALTERAÇÕES?	
KEEP_CHANGES_AUTO	MANTER ALTERAÇÕES? REVERTIRÁ EM	
GAME_RESTART_REQUIRED	É NECESSÁRIO REINICIAR PARA QUE AS ALTERAÇÕES ENTREM EM VIGOR	
TWITTER_BROADCAST	CONSIDERE TRANSMITIR PELO TWITTER
TWITTER_SETTINGS	CONFIGURAÇÕES	
TWITTER_TWEET	TWEETAR?	
TWITTER_SIGN_IN	FAZER LOGIN NO TWITTER	
TWITTER_USERNAME	NOME DE USUÁRIO OU EMAIL	
TWITTER_PASSWORD	SENHA	
TWITTER_NEVERMIND	VOLTAR	
TWITTER_TWEETING	TWEETANDO...	
TWITTER_SIGNING_IN	FAZENDO LOGIN...	
TWITTER_SUCCESS	SUCESSO!	
TWITTER_FAILED	FALHA	
TWITTER_WRONG_LOGIN	NOME DE USUÁRIO OU SENHA INCORRETOS	
TWITTER_CONNECT_FAIL	FALHA DE CONEXÃO	
TWITTER_SIGN_IN_ONLY	FAZER LOGIN	
TWITTER_SIGN_OUT_ONLY	SAIR	
TWITTER_SIGNED_IN	VOCÊ JÁ ESTÁ LOGADO NO TWITTER	
TWITTER_SIGNED_OUT	VOCÊ NÃO ESTÁ LOGADO NO TWITTER	
TWITTER_FILL_OUT	"POR FAVOR, PREENCHA TODOS OS CAMPOS"	
EPITAPH	NÃO HÁ SEGREDOS NESTES MANGUES MAEÓTICOS	
TWITTER_SELECT_BUTTON	SELECIONAR	
TWITTER_SELECT_MSG	"POR FAVOR, SELECIONE UMA CONTA DO TWITTER"	
TWITTER_NO_ACCOUNTS	Configure o Twitter em seu dispositivo	
TWITTER_REQUESTING	SOLICITANDO ACESSO…	
FIGHT	LUTAR?	
DARKMOON_COUNT_9	LUA SOMBRÍA EM 9 DIAS	
DARKMOON	LUA SOMBRÍA	
BRIGHTMOON	LUA RADIANTE	
DARKMOON_BEFORE_NUM	LUA SOMBRÍA EM 	
DARKMOON_AFTER_1	DIA	
DARKMOON_AFTER_MORE	DIAS	
BRIGHTMOON_BEFORE_NUM	LUA RADIANTE EM 	
BRIGHTMOON_AFTER_1	DIA	
BRIGHTMOON_AFTER_MORE	DIAS	
TIME_PARADOX	* PARADOJA TEMPORAL *	
ERRAND_END	SUA MISSÃO FUNESTA CHEGOU AO FIM.	
BEWARE_BOOR	CUIDADO COM O GROSSO RABUGENTO	
MOVE_CONTROLS	PRESSIONE E MANTENHA PARA MOVER	
STOP_CONTROLS	¿TOC TOC PARA PARAR?	
STOP_CONTROLS_ARROW	< < ¿TOC TOC PARA PARAR?	
SLAY	ASSASSINAR?	
ZOOM_CONTROLS	< < <  ZOOM? > > >	
LOOK_CONTROLS	PRESSIONE E DESLIZE PARA OLHAR	
LOOK_CONTROLS_2	DESLIZE PARA OLHAR AO REDOR	
TONGUE_TEXT	"Incline, desembainhe e levante sua espada citiana em direção ao arco-íris por alguns segundos e tenha fé"	
TOUCH_HOLD	PRESSIONE E MANTENHA	
TOUCH_HOLD_ARROW_LEFT	< < PRESSIONE E MANTENHA	
TOUCH_HOLD_ARROW_RIGHT	PRESSIONE E MANTENHA > >	
TIP_TAP_QUESTION	¿TOC TOC?	
TIP_TAP_ARROW_LEFT	< < TOC TOC	
TIP_TAP_ARROW_LEFT_Q	< < ¿TOC TOC?	
TIP_TAP_ARROW_RIGHT	TOC TOC > >	
RUB	ESFREGUE	
QUIT	SAIR	
TAP_ARROW_LEFT	< < TOQUE	
TAP_QUESTION	¿TOCAR?	
MOON_TIME_1	há um instante	
MOON_TIME_2	um tempinho atrás	
MOON_TIME_3	já faz um tempo	
MOON_TIME_4	já faz alguns dias	
MOON_TIME_5	já faz algumas luas	
MOON_TIME_6	já faz muito tempo	
COSMIC_FRIENDS	A PARTIR DE AGORA, SEREMOS AMIGOS CÓSMICOS PARA SEMPRE, VALEU?	
The Scythian	A Citiana	
Girl	Selene	
Logfella	Troncadeiro	
Dogfella	Cãotrapaça	
The Archetype	O Arquétipo	
EXIT	SAIR	
RESOLUTION	RESOLUÇÃO	
RESET	RECOMEÇAR	
PROMPT_CONFIRM_QUIT	SAIR PARA O MENU PRINCIPAL?	
APPLY	PRONTO	
BACK	VOLTAR	
ERRMSG_UNABLE_TO_SAVE	Não foi possível salvar o arquivo	
ERRMSG_UNABLE_TO_DELETE	Não foi possível excluir o arquivo	
ERRMSG_UNABLE_TO_DELETE_STEAM	Falha ao excluir o arquivo de salvamento do Steam.	
ERRMSG_UNABLE_TO_SAVE_STEAM	Falha ao criar um arquivo de salvamento do Steam.	
ERRMSG_CORRUPT_SAVE_PROGRESS	Os dados salvos estão corrompidos e não foi possível lê-los. O jogo irá redefinir todos os dados ao pressionar Aceitar.	
PROMPT_CONFIRM_EXITGAME	DESEJA SAIR DO JOGO?	
HASHTAG_SWORCERY	#sworcery	
DIGIT_STRING	123456789	
HOLD_SHIELD_TO_HEAL	SEGURE PARA CURAR	
EXIT_TITLE	Sair de #sworcery?	
EXIT_PROMPT	Você realmente deseja sair?	
