id	English	Japanese	
GAME_NAME	Superbrothers: Sword & Sworcery EP	スキタイのムスメ：音響的冒剣劇	
GAME_MOTTO	UN VALIENTE EXPERIMENTO EN I/O CINEMA	インプット・アウトプット・シネマ実験	
GAME_NAME_SHORT	S:S&SEP	スキムス	HM, jun13: Changed it since it was using the old name.
WITH_SONGS	CON CANCIONES & SONIDOS DE	楽曲 & サウンド：	
JIM_GUTHRIE	JIM GUTHRIE	ジム・ガスリー	
FOR_DEMO	FOR DEMONSTRATION PURPOSES ONLY	体験版専用	
END_DEMO	Thus ends the demo of	これにて体験版終劇：	
SIDE_A	CARA A	A面	
SIDE_B	CARA B	B面	
ROTATE	¿DESENVAINAR?	抜刀する？	JJ, Jun08: Removed space.
INVENTORY_ROTATE	¿ROTAR?	回転してみる？	MM,May29: Shortened, please recenter on screen JR, may30: Changed to Japanese ？
LOOK	MIRAR	見て	
LISTEN	ESCUCHAR	聞いて	
TOUCH	DOBLE CLIC	トントンして	
DREAM	SOÑAR	夢	
TOUCH_ARROW_LEFT	< <TOCAR	< <触れて	
TOUCH_ARROW_RIGHT	TOCAR> >	触れて> >	
GUIDE_ARROW_LEFT	< <GUIAR	< <こっちへ	
GUIDE_ARROW_RIGHT	GUIAR> >	こっちへ> >	
OBSERVE	OBSERVAR	観察して	
INVESTIGATE	INVESTIGAR	よく見て	
SHAKE	¿SACUDIR?	振ってみる？	JR, may30: Changed to Japanese ？
REFLECT	REFLEJAR	反射を	
BELIEVE	CREER	信じて	
BEWARE	TENER CUIDADO	気をつけて	
FOLLOW	¿SEGUIR?	ついていく？	
ROTATE_UNSHEATHE	< < DESENVAINAR	< <抜刀	JJ, Jun6: Didn't have translation for this one, but based it on row 11. JR, jun12: Hiroko OK. JR, jun12: Fixed spacing around arrows.
GO_HOME	¿IR A CASA?	家に帰る？	
START_ARROW_RIGHT	COMENZAR > > >	スタート> >	JR, jun12: Fixed spacing around arrows.
TRESPASS	TRASPASAR	侵入	
AVOID	EVITAR	避ける	
CONSIDER	CONSIDERAR	よく考える	
PERSEVERE	PERSEVERAR	がんばる	
START_OVER	¿COMENZAR DE NUEVO?	やり直す？	JR, may30: Changed to Japanese ？
PROMPT_YES	SÍ	はい	
PROMPT_NO	NO	いいえ	
PROMPT_OK	ACEPTAR	OK	JJ, Jun06: Needs translation. JJ, Jun08: Just putting "決定" here so we can find it in the rom. JJ, Jun11: OK is the final text. JR, jun12: Hiroko OK.
PROMPT_CANCEL	CANCELAR	キャンセル	
PROMPT_SUBMIT	ENVIAR	送信	
PROMPT_DELETE_SAVE	¿QUIERES ELIMINAR TUS DATOS GUARDADOS? ¡SE PERDERÁ TODO EL PROGRESO!	セーブデータを削除しますか？;これまでの進捗情報は;すべて削除されます	HW, Jun6: This string needs line breaks. Shows up when trying to delete save data in the settings menu.  JJ, Jun11: Hiroko please check line breaks (I put them in already, please just make sure they are OK by JP standards).  HM, Jun12: What's the character limit? Also, the single byte question mark seems inconsistent than the others but is this intentional? JR, jun12: Hiroko OK.
FULLSCREEN	PANTALLA COMPLETA	全画面	
FULLSCREEN_YES	SÍ	はい	
FULLSCREEN_NO	NO	いいえ	
VOLUME	VOLUMEN	ボリューム	
SETTINGS	AJUSTES	設定	
CLEAR_DATA	BORRAR DATOS	データを消去	
KEEP_CHANGES	¿MANTENER CAMBIOS?	変更を保存しますか？	
KEEP_CHANGES_AUTO	¿MANTENER CAMBIOS? SE REVERTIRÁ EN	変更を保存しますか？;自動的に戻るまであと：	解像度変更オプションで、保存するを選択しない場合自動的に設定が変更前に戻るものと想像しました。また、INの後にはカウントダウンする数字が入るものと考えました HM, Jun13: Made the : double byte.
GAME_RESTART_REQUIRED	HAY QUE REINICIAR PARA QUE LOS CAMBIOS SURTAN EFECTO	変更を反映するにはゲームを再起動する必要があります	
TWITTER_BROADCAST	PUEDE QUE DESEES TRANSMITIR A TRAVÉS DE TWITTER	ゲームの進捗はTwitterで実況できます	
TWITTER_SETTINGS	TWITTER	Twitter	
TWITTER_TWEET	¿TUITEAR?	ツイートする？	
TWITTER_SIGN_IN	INCIAR SESIÓN EN TWITTER	Twitterにサインイン	
TWITTER_USERNAME	NOMBRE DE USUARIO O CORREO	ユーザー名／メールアドレス	HM, Jun13: Changed / to double byte
TWITTER_PASSWORD	CONTRASEÑA	パスワード	
TWITTER_NEVERMIND	VOLVER	戻る	
TWITTER_TWEETING	TUITEANDO...	ツイート中...	
TWITTER_SIGNING_IN	ACCEDIENDO...	サインイン中...	
TWITTER_SUCCESS	¡CONSEGUIDO!	完了！	JR, may30: Changed to Japanese ！
TWITTER_FAILED	FALLO	失敗...	
TWITTER_WRONG_LOGIN	USUARIO O CONTRASEÑA INCORRECTA	ユーザー名かパスワードが間違っています	
TWITTER_CONNECT_FAIL	CONEXIÓN FALLIDA	接続に失敗しました	
TWITTER_SIGN_IN_ONLY	ACCEDER	サインイン	
TWITTER_SIGN_OUT_ONLY	SALIR	サインアウト	
TWITTER_SIGNED_IN	YA HAS ACCEDIDO A TWITTER	Twitterにサインインしています	
TWITTER_SIGNED_OUT	NO HAS ACCEDIDO A TWITTER	Twitterにサインインしていません	
TWITTER_FILL_OUT	POR FAVOR, RELLENA TODOS LOS CAMPOS	すべてのフィールドに入力してください	
EPITAPH	NO QUEDAN SECRETOS EN LAS MARISMAS MEÓTIDAS	かのマイオティス湿地にはもはや秘密など残されていない	
FIGHT	¿LUCHAR?	戦う？	JR, may30: Changed to Japanese ？
